id,Author name,Year,Page number,Quotation from PDF,Quotation from JSONL full text,Ground-truth character indexes,Notes
Book chapter,“Notes”,2006,p. 533,"““The Doctor was more than suspected of having no religion, but somehow Middlemarch tolerated this deficiency in him as if he had been a Lord Chancellor; indeed it is probable that his professional weight was the more believed in, the world-old association of cleverness with the evil principle being still potent in the minds even of lady-patients who had the strictest ideas of frilling and sentiment. . . . At all events, it is certain that if any medical man had come to Middlemarch with the reputation of having very definite religious views, of being given to prayer, and of otherwise showing an active piety, there would have been a general presumption against his medical skill.””",,,
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 443,"“All of us, grave or light, get our thoughts entangled in metaphors and act fatally on the strength”","All of us, grave or light, get our thoughts entangled in metaphors and act fatally on the strength of them.","[14718, 14825]","addition of ""of them"""
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 446,"“""known merely as a cluster of signs for \[her\] neighbour's false suppositions.""'1”",known merely as a cluster of signs for his neighbour's false suppositions,"[64756, 64829]","""\[her\]"" replaced with ""his"", deletion of ""1"""
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 450,"“""Rosamond, in fact, was entirely occupied not exactly with Tertius Lydgate as he was in himself, but with his relation to her.""23”","Rosamond, in fact, was entirely occupied not exactly with Tertius Lydgate as he was in himself, but with his relation to her","[36183, 36307]","deletion of ""23"""
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 452,"“""virtually unknown""”",virtually unknown,"[64738, 64755]",three instances of this quotation
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 455,“the world as an udder to feed the supreme self”,they are a taking of the world as an udder to feed the supreme self,"[49114, 49181]","not enclosed by quotation marks, addition of ""they are a taking of the"""
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 459,"“""For surely all must admit that a man may be puffed and belauded, envied, ridiculed, counted upon as a tool and fallen in love with, or at least selected as a future husband, and yet remain virtually unknown-known merely as a cluster of signs for his neighbour's false suppositions”","For surely all must admit that a man may be puffed and belauded, envied, ridiculed, counted upon as a tool and fallen in love with, or at least selected as a future husband, and yet remain virtually unknown-known merely as a cluster of signs for his neighbour's false suppositions","[64549, 64829]",
http://www.jstor.org/stable/30030019,Albrecht,2006,p. 462,"“""We are all of us born in moral stupidity, taking the world as an udder to feed our supreme selves""”","We are all of us born in moral stupidity, taking the world as an udder to feed our supreme selves","[74932, 75029]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 854,"“""fragments of heaven”",fragments of heaven,"[3228, 3249]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 854,"“""sudden light""”",sudden light,"[3834, 3846]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 854,"“""the growth of an intellectual passion,""”",the growth of an intellectual passion,"[3948, 3985]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 854,"“""sudden beam""”",sudden beam,"[4020, 4031]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 854,"“""new current of feeling”",new current of feeling,"[4047, 4071]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 854,"“""here would be another light, as of oxy-hydrogen, showing the very grain of things, and revising all former explanation”","here would be another light, as of oxy-hydrogen, showing the very grain of things, and revising all former explanations","[4233, 4352]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 855,“'unknown regions'”,unknown regions,"[4976, 4991]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 855,"“""fragments of heaven""”",fragments of heaven,"[5129, 5148]",
