,Locations in A,Locations in B,author,coverdate,disc_name,doi,id,jcode,journal,la,no,numMatches,pages,publisher_name,sp,srcHtml,title,topics,ty,vo,year,Decade,Quoted Words,Locations in A with Wordcounts,Wordcounts,paraIndicesIn20
4759,"[[123985, 125583]]","[[46069, 47664]]",['TIMOTHY GOWERS'],"['20120101', '20120101']",['Mathematics'],10.2307/j.ctt7tbz4.10,bc9eb79e-44ae-3d31-9e91-acb829ac8be6,,,['eng'],,2,,,,,"['Circles Disturbed', 'The Interplay of Mathematics and Narrative', 'Vividness in Mathematics and Narrative']","['Patchwork quilting', 'Bed sheets', 'Wagons', 'Lacrosse', 'Barges', 'Refrigerators', 'Electrodynamics', 'Similes', 'Armchairs', 'Supermarkets', 'Lawns', 'Yogurt', 'Fog', 'Rill erosion', 'Companionship', 'Dormitories', 'Counterexamples', 'Liturgy', 'Coupons', 'Scalar multiplication', 'Contentment', 'Hiccups', 'Novelists', 'Swamps', 'Symmetry']",mis,,2012,2010,320,"[[[123985, 125583], 320]]",[320],[]
1517,"[[399365, 399459], [409113, 409185]]","[[44181, 44275], [44591, 44663]]",['HILARY FRASER'],['20100101'],"['Language & Literature', 'Humanities']",10.2307/41059781,11f8497f-6c69-3bd9-9ce5-55b485cb1a40,['yearenglstud'],The Yearbook of English Studies,['eng'],['1/2'],3,61-82,['Modern Humanities Research Association'],61,"<cite>The Yearbook of English Studies</cite>, Vol. 40, No. 1/2, THE ARTS IN VICTORIAN LITERATURE (2010), pp. 61-82",['Women and the Art of Fiction'],"['Women', 'Male gaze', 'Canvas', 'Surgical casts', 'Sculptors', 'Portraits', 'Aestheticism', 'Tunics', 'Physiognomy', 'Melodrama', 'Ugliness', 'Busts', 'Novelists', 'Perfection', 'Commodity value', 'Gargoyles', 'Blindness', 'Exhibition halls', 'Egotism', 'Sofas', 'Sociability', 'Juvenilia', 'Marriage ceremonies', 'Spears', 'Embroidery']",fla,['40'],2010,2010,32,"[[[399365, 399459], 17], [[409113, 409185], 15]]","[17, 15]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5969,"[[560277, 560839]]","[[162043, 162602]]",['MARTIN MEISEL'],"['20160101', '20160101']","['Language & Literature', 'Philosophy', 'Art & Art History', 'Performing Arts', 'Astronomy', 'Physics']",10.7312/meis16632.11,ce8ccb41-d836-347a-93c2-bf6e17f05546,,,['eng'],,2,,,,,"['Chaos Imagined', 'Literature, Art, Science', 'ENERGY']","['Sublimity', 'Oratorios', 'Labyrinths', 'Nihilism', 'Temporality', 'Earth', 'Antinomy', 'Lightning', 'Theatrical genres', 'Colossi', 'Presocratic philosophy', 'Aesthetic taste', 'Earthquakes', 'Anarchy', 'Apogees', 'Anthropic principle', 'Cosmological models', 'Implosions', 'Carnivals', 'Librettos', 'Metaphors', 'Pastiche', 'Comets', 'Mutual intelligibility', 'Laments']",mis,,2016,2010,107,"[[[560277, 560839], 107]]",[107],[]
810,"[[319869, 320887], [1708719, 1709342]]","[[22127, 23064], [24829, 25477]]",['Simon During'],['19880701'],"['Language & Literature', 'Humanities']",10.2307/2928567,668cc77e-64ec-3b5c-9898-9563b5b98f4d,['representations'],Representations,['eng'],['23'],4,86-104,['University of California Press'],86,"<cite>Representations</cite>, No. 23 (Summer, 1988), pp. 86-104","['The Strange Case of Monomania: Patriarchy in Literature, Murder in Middlemarch, Drowning in Daniel Deronda']","['Mental disorders', 'Mimesis', 'Ego', 'Gambling', 'Prosecuting attorneys', 'Delirium', 'Guilt', 'Originality', 'Blessedness', 'Nosology', 'Alienation', 'Melodrama', 'Fear', 'Fetishism', 'Historicism', 'Behaviorism', 'Anthropomorphism', 'Infanticide', 'Purgatory', 'Catachresis', 'Verisimilitude', 'Murderers', 'Apparitions', 'Criminal motive', 'Penitentiary']",fla,,1988,1980,423,"[[[319869, 320887], 280], [[1708719, 1709342], 143]]","[280, 143]",[]
638,"[[248604, 248728], [1608776, 1609593], [1609605, 1610046]]","[[4614, 4738], [4998, 5809], [5822, 6654]]",['Judith M. Hughes'],['19781001'],"['Humanities', 'Language & Literature']",10.2307/25088885,eac3fdca-69f2-34c5-80fe-68f7d185a814,['massreview'],,['eng'],['3'],5,541-555,"['The Massachusetts Review, Inc.']",541,"<cite>The Massachusetts Review</cite>, Vol. 19, No. 3 (Autumn, 1978), pp. 541-555",['Self-Suppression & Attachment: Mid-Victorian Emotional Life'],"['Love', 'Sadness', 'Anger', 'Pity', 'Udders', 'Solitude', 'Irony', 'Heirs', 'Lips', 'Subjection', 'Egotism', 'Codicils', 'Goodbyes', 'Bachelor parties', 'Compassion', 'Hunting songs', 'Prostration', 'Self righteousness', 'Asset forfeiture', 'Cocoons', 'Patchwork quilting', 'Orthodoxy', 'Renunciation', 'Despair', 'Arachnidism']",fla,['19'],1978,1970,304,"[[[248604, 248728], 23], [[1608776, 1609593], 183], [[1609605, 1610046], 98]]","[23, 183, 98]",[]
389,"[[834696, 834938]]","[[6609, 6849]]","['David-Everett Blythe', 'Joseph Wiesenfarth']",['19830101'],"['Humanities', 'Language & Literature']",10.2307/462077,1e9e8756-d436-3643-ba46-82f247d4a621,['pmla'],,['eng'],['1'],2,89-91,['Modern Language Association'],89,"<cite>PMLA</cite>, Vol. 98, No. 1 (Jan., 1983), pp. 89-91",['The Language of Art'],"['Rebirth', 'Irony', 'Pity', 'Vanity', 'Occultism', 'Sadness', 'Similitude law', 'Rearview mirrors', 'Damnation', 'Essayists', 'Monarchy', 'Mysticism', 'Emeralds', 'Persuasion', 'In pari delicto', 'Artisans', 'Tableaux', 'Tears', 'Warrants', 'Nonsense', 'Skirts', 'Puns', 'Compassion', 'Neopatrimonialism', 'Faith']",fla,['98'],1983,1980,55,"[[[834696, 834938], 55]]",[55],[]
973,"[[485698, 485803]]","[[9291, 9396]]",['Daniel Cottom'],"['19870101', '19870101']",['Language & Literature'],10.5749/j.ctttt3h8.9,ea5f9e47-c1a5-39c4-abe5-cc167124c7f3,,,['eng'],,2,,,,,"['Social Figures', 'George Eliot, Social History, and Literary Representation', 'Genteel Image and Democratic Example']","['Transfiguration', 'Workhouses', 'Innocence', 'Aristocracy', 'Metonymy', 'Sublimity', 'Flattery', 'Pity', 'Princesses', 'Vanity', 'Seduction', 'Righteousness', 'Visual fixation', 'Vocation', 'Rational egoism', 'Subjection', 'Misogyny', 'Self portraiture', 'Negative instances', 'Teleology', 'Passion', 'Jousting', 'Shopkeepers', 'Surety', 'Preachers']",mis,['44'],1987,1980,18,"[[[485698, 485803], 18]]",[18],[]
50,"[[35061, 35262], [51087, 51257], [415296, 415396], [1726168, 1726294], [1793006, 1793447]]","[[6872, 7080], [14564, 14734], [14790, 14890], [15569, 15697], [15817, 16551]]",['DAVID L. SMITH'],['20010901'],"['Language & Literature', 'Humanities']",10.2307/42827730,4b1f236f-3135-3f7f-b40c-06e7d0e5f309,['georelioghlstud'],George Eliot - George Henry Lewes Studies,['eng'],['40/41'],6,34-46,['Penn State University Press'],34,"<cite>George Eliot - George Henry Lewes Studies</cite>, No. 40/41, In Memoriam: Professor Thomas Deegan (1939-2001) (September 2001), pp. 34-46","['""MIDDLEMARCH"": ELIOT\'S TENDER SUBVERSION']","['Women', 'Pity', 'Asceticism', 'Impeachment', 'Epics', 'Franciscanism', 'Despair', 'Libertine lifestyle', 'Ballots', 'Agnosticism', 'Ambition', 'Satire', 'Nuns', 'Plagiarism', 'Schisms', 'Pseudonyms', 'Veneration', 'Subjection', 'Business cards', 'Daggers', 'Adolescence', 'Antitheses', 'Tautologies', 'Fortresses', 'Immediacy']",fla,,2001,2000,223,"[[[35061, 35262], 43], [[51087, 51257], 33], [[415296, 415396], 20], [[1726168, 1726294], 31], [[1793006, 1793447], 96]]","[43, 33, 20, 31, 96]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 10, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
358,"[[345183, 345906], [345925, 346047]]","[[29859, 30997], [31015, 31137]]",['George Levine'],['19800601'],"['Language & Literature', 'Humanities']",10.2307/2933477,5365a837-b90c-37d6-a65d-b36737478db4,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['1'],4,1-28,['University of California Press'],1,"<cite>Nineteenth-Century Fiction</cite>, Vol. 35, No. 1 (Jun., 1980), pp. 1-28","[""George Eliot's Hypothesis of Reality""]","['Idealism', 'Certitude', 'Labyrinths', 'Fantasy', 'Constructive empiricism', 'Obedience', 'Particularity', 'Passion', 'Ellipses', 'Conventionalism', 'Pride', 'Sunlight', 'Selfhood', 'Materialism', 'Otherness', 'Inwardness', 'Thirst', 'Ethers', 'Rowing', 'Overtrading', 'Antitheses', 'Conventionality', 'Facticity', 'Imperfect consonances', 'Unbelief systems']",fla,['35'],1980,1980,160,"[[[345183, 345906], 137], [[345925, 346047], 23]]","[137, 23]",[]
1008,"[[8450, 8912], [8932, 9540]]","[[17523, 17992], [18036, 18653]]",['Wendell V. Harris'],['19900701'],"['Language & Literature', 'Humanities']",10.2307/2873079,260e180d-e932-3291-b7f0-ca9ba8a26bf6,['elh'],ELH,['eng'],['2'],3,445-458,['Johns Hopkins University Press'],445,"<cite>ELH</cite>, Vol. 57, No. 2 (Summer, 1990), pp. 445-458",['Bakhtinian Double Voicing in Dickens and Eliot'],"['Dialogism', 'Narratology', 'Irony', 'Polyphony', 'Inquests', 'Parishes', 'Guilt', 'Satellite design', 'Mental disorders', 'Intragenic recombination', 'Idiolects', 'Puffery', 'Aesthetic taste', 'Incommensurability of scientific theories', 'Marine terminals', 'Punctuation', 'Novelists', 'Companionship', 'Maxims', 'Lace', 'Courtship', 'Rill erosion', 'Postmodern ethics', 'Flatness', 'Subtlety']",fla,['57'],1990,1990,227,"[[[8450, 8912], 98], [[8932, 9540], 129]]","[98, 129]",[]
