Text A,Text B,Threshold,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"middlemarch.txt","e0b/e0b-txt/WOLFE_2002_IRIS MURDOCH APPLIED TO GEORGE ELIOT.txt","6","3","17","1793446","43119","[(539109, 539353), (539391, 539432), (539504, 539740), (1210547, 1210860), (1471573, 1472022), (1472038, 1472090), (1472091, 1472208), (1510842, 1510919), (1510950, 1511076), (1511091, 1511407), (1610900, 1610947), (1610956, 1611217), (1611228, 1611531), (1654994, 1655417), (1688950, 1689225), (1689234, 1689330), (1704481, 1704549)]","[(26234, 26478), (26481, 26521), (26567, 26802), (27942, 28258), (30252, 30701), (30720, 30772), (30905, 31021), (35537, 35615), (35789, 35916), (35934, 36251), (38489, 38536), (38544, 38807), (38817, 39116), (40177, 40602), (40814, 41087), (41095, 41191), (41240, 41308)]"
"middlemarch.txt","e0b/e0b-txt/Hardy_1954_The Moment of Disenchantment in George Eliot's Novels.txt","6","3","3","1793446","20226","[(580711, 580936), (580948, 581020), (1691325, 1691448)]","[(9662, 9886), (9897, 9969), (19879, 20002)]"
"middlemarch.txt","e0b/e0b-txt/MORRIS_1990_THE DIALOGIC UNIVERSE OF MIDDLEMARCH.txt","6","3","21","1793446","47530","[(1615, 1964), (29948, 30025), (40132, 40256), (308559, 308894), (404367, 404538), (404791, 404849), (405279, 405339), (558705, 559403), (894312, 894358), (894359, 894428), (894440, 894653), (894656, 894846), (898497, 898672), (898730, 898829), (1286498, 1286807), (1707632, 1707683), (1708816, 1708905), (1708912, 1708993), (1709593, 1709662), (1710273, 1710616), (1793137, 1793207)]","[(4254, 4605), (5612, 5690), (6239, 6364), (7553, 7889), (10948, 11116), (11123, 11181), (11381, 11441), (15647, 16341), (23951, 23996), (24144, 24212), (24226, 24438), (25056, 25248), (25929, 26102), (26162, 26261), (29909, 30217), (43323, 43374), (43853, 43941), (43947, 44028), (44115, 44184), (44298, 44641), (45500, 45570)]"
"middlemarch.txt","e0b/e0b-txt/Guth_1999_George Eliot and Schiller.txt","6","3","5","1793446","46745","[(8798, 8850), (8870, 8930), (83611, 83687), (912722, 912767), (1786635, 1786702)]","[(18049, 18101), (18127, 18188), (19244, 19319), (24018, 24063), (27895, 27962)]"
"middlemarch.txt","e0b/e0b-txt/Payne_1999_The Serialist Vanishes.txt","6","3","4","1793446","60072","[(345200, 345488), (1608886, 1609417), (1611694, 1611763), (1793075, 1793130)]","[(4009, 4298), (25511, 26041), (26698, 26767), (32903, 32958)]"
"middlemarch.txt","e0b/e0b-txt/Ginsburg_1980_Pseudonym, Epigraphs, and Narrative Voice.txt","6","3","11","1793446","46843","[(11695, 11778), (40132, 40449), (48986, 49678), (763477, 763613), (1057843, 1058007), (1058114, 1058171), (1058182, 1058733), (1142954, 1143189), (1143757, 1144251), (1641350, 1641419), (1787732, 1787882)]","[(6727, 6810), (7312, 7628), (22150, 22838), (26043, 26179), (34061, 34223), (34417, 34474), (34488, 35034), (36351, 36583), (36595, 37084), (39527, 39596), (46328, 46479)]"
"middlemarch.txt","e0b/e0b-txt/STAVELEY_2004_CAUGHT BETWEEN THE SERPENT AND THE SWAN.txt","6","3","4","1793446","38054","[(283357, 283437), (1711107, 1711209), (1711259, 1711458), (1711661, 1711815)]","[(10878, 10959), (17951, 18053), (18061, 18265), (18263, 18416)]"
"middlemarch.txt","e0b/e0b-txt/Hollander_2006_Ariadne and the Rippled Nose.txt","6","3","51","1793446","82213","[(151839, 151907), (151913, 152477), (158728, 158799), (159049, 159136), (159142, 159377), (398346, 398486), (398492, 398730), (399375, 399732), (399738, 400001), (402505, 402725), (404363, 404445), (404800, 404849), (404857, 405044), (405053, 405185), (405346, 405533), (405872, 406318), (439995, 440095), (444292, 444610), (454401, 454577), (455211, 455265), (455282, 455420), (455742, 455835), (455907, 456096), (456100, 456500), (456966, 457063), (457067, 457332), (460656, 460914), (463110, 463408), (463423, 463586), (464391, 464650), (476682, 477075), (477097, 477303), (477312, 477535), (584625, 585262), (585276, 585788), (585807, 586105), (586107, 586444), (586699, 586804), (791034, 791806), (794839, 795117), (1159125, 1159538), (1165524, 1165706), (1165739, 1165988), (1165991, 1166105), (1166106, 1166224), (1166234, 1166329), (1368194, 1368243), (1368266, 1368387), (1734372, 1734478), (1755708, 1755763), (1755807, 1755875)]","[(5948, 6015), (6021, 6581), (7109, 7180), (7177, 7264), (7270, 7506), (12120, 12260), (12267, 12505), (22342, 22699), (22705, 22968), (23547, 23768), (24232, 24313), (24327, 24376), (24383, 24567), (24577, 24707), (25418, 25603), (25689, 26131), (34850, 34950), (35401, 35716), (36771, 36947), (37056, 37110), (37822, 37959), (38163, 38256), (38267, 38457), (38458, 38858), (39695, 39792), (39953, 40217), (40670, 40927), (42710, 43010), (43027, 43190), (48539, 48797), (49741, 50134), (50141, 50345), (50352, 50578), (53063, 53701), (53716, 54226), (54944, 55242), (56046, 56380), (57265, 57370), (60568, 61339), (61908, 62187), (64648, 65058), (65477, 65660), (65692, 65941), (66813, 66927), (66932, 67051), (67066, 67161), (78994, 79043), (79054, 79175), (80356, 80463), (80480, 80535), (80541, 80609)]"
"middlemarch.txt","e0b/e0b-txt/HAMREN_2013_THE HAZARD OF THE STRAIGHT AND NARROW.txt","6","3","11","1793446","49025","[(6269, 6425), (11832, 11922), (11935, 12019), (50453, 50593), (173774, 174050), (174596, 174717), (402739, 402911), (402954, 403044), (456021, 456073), (456080, 456247), (456297, 456400)]","[(22749, 22905), (22996, 23086), (23100, 23184), (25459, 25601), (26531, 26808), (26933, 27054), (37575, 37748), (38062, 38153), (39778, 39830), (39837, 40006), (40013, 40117)]"
"middlemarch.txt","e0b/e0b-txt/Blessington_1986_The Portrait in the Spoon.txt","6","3","4","1793446","15080","[(26501, 26602), (26868, 26915), (26916, 26966), (125710, 125845)]","[(1957, 2058), (3363, 3410), (3464, 3514), (8451, 8586)]"
