Text A,Text B,Threshold,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"middlemarch.txt","e0b/e0b-txt/WOLFE_2002_IRIS MURDOCH APPLIED TO GEORGE ELIOT.txt","2","3","25","1793446","43119","[(34770, 34796), (264390, 264420), (424512, 424538), (539109, 539353), (539391, 539432), (539447, 539483), (539504, 539740), (1210547, 1210860), (1211808, 1211828), (1471573, 1472022), (1472038, 1472090), (1472091, 1472208), (1510842, 1510919), (1510950, 1511076), (1511091, 1511407), (1610900, 1610947), (1610956, 1611217), (1611228, 1611531), (1611694, 1611736), (1654994, 1655417), (1688950, 1689225), (1689234, 1689330), (1704442, 1704472), (1704481, 1704549), (1707252, 1707281)]","[(17041, 17067), (18150, 18180), (22412, 22438), (26234, 26478), (26481, 26521), (26524, 26560), (26567, 26802), (27942, 28258), (28290, 28310), (30252, 30701), (30720, 30772), (30905, 31021), (35537, 35615), (35789, 35916), (35934, 36251), (38489, 38536), (38544, 38807), (38817, 39116), (39118, 39160), (40177, 40602), (40814, 41087), (41095, 41191), (41202, 41232), (41240, 41308), (41414, 41443)]"
"middlemarch.txt","e0b/e0b-txt/Otis_2014_Changing the Victorian Gestalt.txt","2","3","2","1793446","18342","[(612154, 612180), (1504097, 1504116)]","[(12664, 12690), (14224, 14243)]"
"middlemarch.txt","e0b/e0b-txt/Hardy_1954_The Moment of Disenchantment in George Eliot's Novels.txt","2","3","11","1793446","20226","[(32014, 32032), (580711, 580936), (580948, 581020), (581021, 581071), (581107, 581139), (584858, 584899), (912043, 912086), (912113, 912138), (1171121, 1171142), (1691259, 1691287), (1691325, 1691448)]","[(1606, 1624), (9662, 9886), (9897, 9969), (10132, 10181), (10192, 10224), (10272, 10313), (10514, 10556), (10559, 10584), (13040, 13061), (19843, 19872), (19879, 20002)]"
"middlemarch.txt","e0b/e0b-txt/1984_ELIOT-LEWES STUDIES; RECENT, FORTHCOMING AND IN PROGRESS.txt","2","3","1","1793446","10091","[(672588, 672607)]","[(9362, 9382)]"
"middlemarch.txt","e0b/e0b-txt/MORRIS_1990_THE DIALOGIC UNIVERSE OF MIDDLEMARCH.txt","2","3","26","1793446","47530","[(1615, 1964), (29948, 30025), (39949, 39974), (40132, 40256), (308559, 308894), (352754, 352778), (404367, 404538), (404791, 404849), (405279, 405339), (558705, 559403), (894312, 894358), (894359, 894428), (894440, 894653), (894656, 894846), (898497, 898672), (898683, 898722), (898730, 898829), (1286498, 1286807), (1377548, 1377568), (1707632, 1707683), (1707839, 1707880), (1708816, 1708905), (1708912, 1708993), (1709593, 1709662), (1710273, 1710616), (1793137, 1793207)]","[(4254, 4605), (5612, 5690), (6207, 6232), (6239, 6364), (7553, 7889), (9082, 9108), (10948, 11116), (11123, 11181), (11381, 11441), (15647, 16341), (23951, 23996), (24144, 24212), (24226, 24438), (25056, 25248), (25929, 26102), (26114, 26153), (26162, 26261), (29909, 30217), (33619, 33639), (43323, 43374), (43457, 43498), (43853, 43941), (43947, 44028), (44115, 44184), (44298, 44641), (45500, 45570)]"
"middlemarch.txt","e0b/e0b-txt/Guth_1999_George Eliot and Schiller.txt","2","3","9","1793446","46745","[(8798, 8850), (8870, 8930), (18549, 18575), (83611, 83687), (912722, 912767), (1286902, 1286919), (1630331, 1630354), (1777677, 1777717), (1786635, 1786702)]","[(18049, 18101), (18127, 18188), (18673, 18698), (19244, 19319), (24018, 24063), (24831, 24848), (26772, 26795), (27497, 27537), (27895, 27962)]"
"middlemarch.txt","e0b/e0b-txt/Payne_1999_The Serialist Vanishes.txt","2","3","7","1793446","60072","[(345200, 345488), (800708, 800728), (1608886, 1609417), (1611446, 1611485), (1611694, 1611763), (1645750, 1645784), (1793075, 1793130)]","[(4009, 4298), (24948, 24968), (25511, 26041), (26654, 26693), (26698, 26767), (32679, 32713), (32903, 32958)]"
"middlemarch.txt","e0b/e0b-txt/Wolff_1985_George Eliot, Other-Wise Marian Evans.txt","2","3","8","1793446","54856","[(214611, 214628), (306969, 306992), (1147236, 1147265), (1147363, 1147398), (1147399, 1147434), (1147435, 1147473), (1786648, 1786681), (1786682, 1786707)]","[(17643, 17660), (27206, 27229), (48951, 48980), (49058, 49093), (49136, 49171), (49209, 49247), (50644, 50677), (50710, 50735)]"
"middlemarch.txt","e0b/e0b-txt/Bunce_1890_English and American Book Markets.txt","2","3","2","1793446","27387","[(32014, 32032), (442023, 442044)]","[(21705, 21723), (23285, 23307)]"
"middlemarch.txt","e0b/e0b-txt/Ginsburg_1980_Pseudonym, Epigraphs, and Narrative Voice.txt","2","3","12","1793446","46843","[(11695, 11778), (40132, 40449), (48986, 49678), (763477, 763613), (1057843, 1058007), (1058114, 1058171), (1058182, 1058733), (1142954, 1143189), (1143757, 1144251), (1641350, 1641419), (1787695, 1787731), (1787732, 1787882)]","[(6727, 6810), (7312, 7628), (22150, 22838), (26043, 26179), (34061, 34223), (34417, 34474), (34488, 35034), (36351, 36583), (36595, 37084), (39527, 39596), (46136, 46172), (46328, 46479)]"
"middlemarch.txt","e0b/e0b-txt/Smith_1996_What's All This Hype about Hypertext.txt","2","3","1","1793446","46467","[(166230, 166256)]","[(20814, 20840)]"
"middlemarch.txt","e0b/e0b-txt/STAVELEY_2004_CAUGHT BETWEEN THE SERPENT AND THE SWAN.txt","2","3","4","1793446","38054","[(283357, 283437), (1711107, 1711209), (1711259, 1711458), (1711661, 1711815)]","[(10878, 10959), (17951, 18053), (18061, 18265), (18263, 18416)]"
"middlemarch.txt","e0b/e0b-txt/Kermode_1957_Dissociation of Sensibility.txt","2","3","6","1793446","52030","[(4204, 4228), (214614, 214634), (259629, 259646), (264505, 264526), (615387, 615411), (1419775, 1419795)]","[(5543, 5567), (9738, 9758), (34834, 34851), (35894, 35915), (39526, 39550), (49467, 49487)]"
"middlemarch.txt","e0b/e0b-txt/Luebke_1929_The Analytic Future in Contemporary American Fiction.txt","2","3","1","1793446","14644","[(966948, 966970)]","[(6632, 6654)]"
"middlemarch.txt","e0b/e0b-txt/Hollander_2006_Ariadne and the Rippled Nose.txt","2","3","61","1793446","82213","[(151839, 151907), (151913, 152477), (158657, 158698), (158728, 158799), (159049, 159136), (159142, 159377), (398346, 398486), (398492, 398730), (398876, 398919), (399314, 399350), (399375, 399732), (399738, 400001), (402505, 402725), (404110, 404155), (404363, 404445), (404800, 404849), (404857, 405044), (405053, 405185), (405346, 405533), (405872, 406318), (439815, 439834), (439995, 440095), (444292, 444610), (454401, 454577), (455125, 455184), (455211, 455265), (455282, 455420), (455742, 455835), (455907, 456096), (456100, 456500), (456649, 456686), (456966, 457063), (457067, 457332), (460454, 460473), (460656, 460914), (460987, 461022), (463110, 463408), (463423, 463586), (464391, 464650), (476682, 477075), (477097, 477303), (477312, 477535), (584625, 585262), (585276, 585788), (585807, 586105), (586107, 586444), (586564, 586590), (586699, 586804), (791034, 791806), (794839, 795117), (1159125, 1159538), (1165524, 1165706), (1165739, 1165988), (1165991, 1166105), (1166106, 1166224), (1166234, 1166329), (1368194, 1368243), (1368266, 1368387), (1734372, 1734478), (1755708, 1755763), (1755807, 1755875)]","[(5948, 6015), (6021, 6581), (7058, 7101), (7109, 7180), (7177, 7264), (7270, 7506), (12120, 12260), (12267, 12505), (22093, 22136), (22284, 22320), (22342, 22699), (22705, 22968), (23547, 23768), (23852, 23897), (24232, 24313), (24327, 24376), (24383, 24567), (24577, 24707), (25418, 25603), (25689, 26131), (34821, 34840), (34850, 34950), (35401, 35716), (36771, 36947), (36961, 37020), (37056, 37110), (37822, 37959), (38163, 38256), (38267, 38457), (38458, 38858), (39528, 39566), (39695, 39792), (39953, 40217), (40525, 40544), (40670, 40927), (41057, 41092), (42710, 43010), (43027, 43190), (48539, 48797), (49741, 50134), (50141, 50345), (50352, 50578), (53063, 53701), (53716, 54226), (54944, 55242), (56046, 56380), (57192, 57220), (57265, 57370), (60568, 61339), (61908, 62187), (64648, 65058), (65477, 65660), (65692, 65941), (66813, 66927), (66932, 67051), (67066, 67161), (78994, 79043), (79054, 79175), (80356, 80463), (80480, 80535), (80541, 80609)]"
"middlemarch.txt","e0b/e0b-txt/HAMREN_2013_THE HAZARD OF THE STRAIGHT AND NARROW.txt","2","3","14","1793446","49025","[(6269, 6425), (11832, 11922), (11935, 12019), (50453, 50593), (173774, 174050), (174556, 174588), (174596, 174717), (402739, 402911), (402916, 402947), (402954, 403044), (456021, 456073), (456080, 456247), (456297, 456400), (1543160, 1543185)]","[(22749, 22905), (22996, 23086), (23100, 23184), (25459, 25601), (26531, 26808), (26893, 26925), (26933, 27054), (37575, 37748), (38026, 38057), (38062, 38153), (39778, 39830), (39837, 40006), (40013, 40117), (43943, 43968)]"
"middlemarch.txt","e0b/e0b-txt/Blessington_1986_The Portrait in the Spoon.txt","2","3","7","1793446","15080","[(26501, 26602), (26627, 26670), (26818, 26863), (26868, 26915), (26916, 26966), (125710, 125845), (891240, 891267)]","[(1957, 2058), (2576, 2619), (3265, 3310), (3363, 3410), (3464, 3514), (8451, 8586), (11104, 11130)]"
"middlemarch.txt","e0b/e0b-txt/Baltazar_2001_THE CRITIQUE OF ANGLICAN BIBLICAL SCHOLARSHIP IN GEORGE ELIOT'S MIDDLEMARCH.txt","2","3","10","1793446","50414","[(40106, 40136), (442192, 442297), (442421, 442580), (472677, 472703), (688772, 688827), (804633, 804652), (1018330, 1018441), (1018455, 1018577), (1020777, 1020808), (1147389, 1147413)]","[(4174, 4203), (13599, 13705), (13710, 13869), (22901, 22928), (28477, 28532), (36187, 36206), (36221, 36332), (36347, 36468), (41363, 41394), (41601, 41625)]"
"middlemarch.txt","e0b/e0b-txt/Robbins_2010_VICTORIAN COSMOPOLITANISM, INTERRUPTED.txt","2","3","9","1793446","19989","[(613160, 613180), (1078400, 1078920), (1078931, 1079164), (1080153, 1080185), (1085684, 1085739), (1155581, 1155602), (1577371, 1577452), (1601248, 1601272), (1662206, 1662230)]","[(1315, 1335), (1522, 2043), (2052, 2286), (2466, 2498), (9705, 9760), (10089, 10110), (11057, 11139), (12489, 12513), (17579, 17603)]"
"middlemarch.txt","e0b/e0b-txt/Kennard_1973_Victims of Convention.txt","2","3","2","1793446","15171","[(214611, 214628), (330953, 330977)]","[(6399, 6416), (12694, 12718)]"
"middlemarch.txt","e0b/e0b-txt/Cree_Guillette_1995_Biennial Reproduction with a Fourteen-Month Pregnancy in the Gecko.txt","2","3","1","1793446","47380","[(1766680, 1766701)]","[(10762, 10783)]"
"middlemarch.txt","e0b/e0b-txt/HAWES_2001_GEORGE ELIOT AND GEORGE HENRY LEWES.txt","2","3","2","1793446","20718","[(214611, 214628), (1674434, 1674455)]","[(18720, 18737), (18790, 18811)]"
"middlemarch.txt","e0b/e0b-txt/Harvey_1958_George Eliot and the Omniscient Author Convention.txt","2","3","8","1793446","67563","[(91012, 91030), (388932, 388951), (857807, 857828), (1281720, 1281739), (1285757, 1285829), (1285830, 1286177), (1302613, 1302677), (1302690, 1302846)]","[(22618, 22636), (27841, 27860), (31095, 31116), (31814, 31833), (63051, 63123), (63289, 63636), (65507, 65569), (65580, 65735)]"
"middlemarch.txt","e0b/e0b-txt/GALLAGHER_2005_George Eliot.txt","2","3","17","1793446","49166","[(7163, 7196), (7202, 7359), (7371, 7495), (7507, 7573), (868776, 868838), (869039, 869091), (869097, 869394), (869410, 869681), (869689, 869764), (1046461, 1046741), (1046879, 1046906), (1047039, 1047129), (1047209, 1047350), (1047353, 1047394), (1047398, 1047456), (1047464, 1047600), (1793001, 1793130)]","[(8229, 8262), (8263, 8418), (8429, 8553), (8563, 8629), (15310, 15372), (15389, 15441), (15446, 15742), (15756, 16026), (16034, 16121), (36426, 36712), (36709, 36736), (36783, 36873), (36881, 37022), (40092, 40133), (40150, 40208), (40215, 40351), (42166, 42295)]"
"middlemarch.txt","e0b/e0b-txt/Beaty_1958_The Forgotten Past of Will Ladislaw.txt","2","3","3","1793446","10799","[(1543775, 1543880), (1543888, 1544237), (1587815, 1587832)]","[(7847, 7951), (7959, 8304), (8510, 8527)]"
"middlemarch.txt","e0b/e0b-txt/Smith_1963_Music in the Victorian Novel.txt","2","3","7","1793446","38308","[(129116, 129237), (129244, 129309), (131038, 131214), (212300, 212415), (1175308, 1175517), (1175532, 1175619), (1339367, 1339388)]","[(13530, 13649), (13656, 13721), (17564, 17741), (20288, 20402), (20902, 21112), (21128, 21215), (37087, 37108)]"
"middlemarch.txt","e0b/e0b-txt/BLAIR_2001_A CHANGE IN THE UNITS.txt","2","3","8","1793446","37581","[(302866, 303062), (303446, 303473), (307180, 307252), (307280, 307441), (307442, 307498), (307532, 307671), (308717, 308894), (321956, 322033)]","[(1332, 1528), (16860, 16887), (17864, 17936), (17940, 18102), (18234, 18290), (18294, 18433), (18441, 18617), (28588, 28666)]"
"middlemarch.txt","e0b/e0b-txt/COLÓN_2005_ONE FUNCTION IN PARTICULAR.txt","2","3","2","1793446","54259","[(29100, 29163), (1380249, 1380269)]","[(48419, 48483), (53134, 53154)]"
"middlemarch.txt","e0b/e0b-txt/Small_2012_George Eliot and the Cosmopolitan Cynic.txt","2","3","5","1793446","58624","[(584462, 584488), (793013, 793033), (1161944, 1161960), (1675733, 1675756), (1789490, 1789509)]","[(24052, 24078), (30715, 30735), (33636, 33652), (34235, 34254), (41875, 41894)]"
"middlemarch.txt","e0b/e0b-txt/Palmer_2011_Social Minds in Fiction and Criticism.txt","2","3","28","1793446","133615","[(3785, 4019), (4030, 4087), (4097, 4480), (4702, 4811), (4822, 4868), (4882, 5068), (5808, 5977), (6223, 6425), (6819, 6845), (6851, 7072), (7073, 7122), (7133, 7332), (7957, 8124), (8135, 8240), (8434, 8745), (9228, 9470), (9481, 9645), (9652, 9714), (9724, 9786), (9990, 10202), (11866, 11922), (11935, 12166), (12178, 12279), (12289, 12352), (12363, 12415), (12424, 12516), (321956, 322045), (615387, 615408)]","[(89667, 89909), (89920, 89977), (89987, 90376), (90385, 90494), (90506, 90556), (90570, 90759), (90781, 90954), (90963, 91169), (91178, 91204), (91226, 91450), (91597, 91645), (91656, 91865), (91885, 92057), (92068, 92174), (92188, 92509), (92520, 92775), (92787, 92970), (92978, 93040), (93050, 93112), (93121, 93348), (93391, 93447), (93461, 93696), (93708, 93809), (93819, 93882), (93894, 93950), (93959, 94051), (110061, 110150), (118876, 118897)]"
"middlemarch.txt","e0b/e0b-txt/Travis_1999_From Shattered Mummies to An Epic Life.txt","2","3","18","1793446","51483","[(729, 775), (1276, 1404), (40132, 40256), (40330, 40370), (40392, 40449), (50610, 50728), (51612, 51681), (124161, 124187), (400633, 400662), (404822, 404849), (423062, 423087), (834705, 834729), (834730, 834937), (834986, 835019), (835075, 835196), (1034590, 1034618), (1147344, 1147483), (1704672, 1704692)]","[(11529, 11575), (11621, 11749), (17082, 17206), (19428, 19468), (19485, 19543), (25093, 25211), (29759, 29829), (30662, 30688), (31482, 31512), (32280, 32307), (33204, 33228), (33257, 33281), (33477, 33683), (33772, 33805), (33811, 33929), (35548, 35576), (35582, 35719), (36807, 36827)]"
"middlemarch.txt","e0b/e0b-txt/Orlove_2008_Editorial.txt","2","3","2","1793446","8854","[(560105, 560280), (560292, 560938)]","[(7140, 7314), (7325, 7969)]"
"middlemarch.txt","e0b/e0b-txt/Kearney_1971_Time and Beauty in Daniel Deronda.txt","2","3","3","1793446","56174","[(2748, 2821), (665006, 665024), (834759, 834783)]","[(46746, 46819), (48494, 48512), (51239, 51263)]"
"middlemarch.txt","e0b/e0b-txt/Easterlin_2011_Intermental Functions, Evolved Cognition, and Fictional Representation.txt","2","3","1","1793446","14995","[(665006, 665024)]","[(12228, 12246)]"
"middlemarch.txt","e0b/e0b-txt/Parks_1958_Paul Hamilton Hayne on Novels and Novelists.txt","2","3","2","1793446","22551","[(1368797, 1368820), (1750591, 1750613)]","[(4307, 4330), (9068, 9090)]"
"middlemarch.txt","e0b/e0b-txt/Hannay et al_1949_Symposium.txt","2","3","4","1793446","64277","[(128425, 128447), (526350, 526367), (615387, 615411), (796793, 796812)]","[(3460, 3482), (5117, 5134), (13820, 13843), (62952, 62972)]"
"middlemarch.txt","e0b/e0b-txt/MAYNES-AMINZADE_2014_THE OMNICOMPETENT NARRATOR FROM GEORGE ELIOT TO JONATHAN FRANZEN.txt","2","3","8","1793446","61073","[(300464, 300495), (302006, 302114), (307180, 307545), (906211, 906321), (961585, 961661), (1295087, 1295204), (1295210, 1295368), (1307627, 1307650)]","[(11821, 11852), (12141, 12249), (22129, 22495), (23493, 23605), (23969, 24045), (24176, 24291), (24295, 24451), (28465, 28488)]"
"middlemarch.txt","e0b/e0b-txt/FULMER_1974_CONTRASTING PAIRS OF HEROINES IN GEORGE ELIOT'S FICTION.txt","2","3","3","1793446","20856","[(18507, 18566), (231814, 232000), (232001, 232238)]","[(6156, 6215), (18725, 18912), (19054, 19292)]"
"middlemarch.txt","e0b/e0b-txt/Mason_1971_Middlemarch and Science.txt","2","3","19","1793446","50928","[(95778, 95801), (195344, 195574), (195599, 195672), (251702, 251722), (307913, 307968), (307992, 308046), (308074, 308127), (343096, 343139), (343254, 343303), (345278, 345333), (345356, 345411), (345437, 345488), (370763, 370810), (370836, 370885), (449972, 450025), (450053, 450107), (450134, 450169), (777080, 777131), (777156, 777192)]","[(3612, 3635), (14883, 15113), (15141, 15215), (16254, 16274), (30156, 30211), (30212, 30266), (30271, 30324), (33914, 33957), (33968, 34017), (34431, 34486), (34487, 34542), (34544, 34595), (44249, 44296), (44300, 44349), (48766, 48819), (48820, 48874), (48875, 48910), (48912, 48963), (48964, 49000)]"
"middlemarch.txt","e0b/e0b-txt/FULMER_BARFIELD_2011_Edith J.txt","2","3","1","1793446","13039","[(1171121, 1171142)]","[(8715, 8736)]"
"middlemarch.txt","e0b/e0b-txt/Altick_1978_Anachronisms in Middlemarch.txt","2","3","10","1793446","18586","[(572715, 573082), (573755, 573809), (575583, 575623), (575624, 575752), (575755, 575838), (888666, 888696), (888697, 888911), (1472989, 1473029), (1473040, 1473152), (1473801, 1473910)]","[(3958, 4325), (4464, 4518), (4604, 4644), (4649, 4776), (5531, 5614), (8226, 8256), (8270, 8485), (9195, 9235), (9245, 9357), (11370, 11479)]"
