Text A,Text B,Threshold,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"middlemarch.txt","txt/Nunokawa_1993_The Miser's Two Bodies.pdf.txt","2","3","2","1793446","62029","[(1662476, 1662946), (1712058, 1712098)]","[(8779, 9249), (32760, 32797)]"
"middlemarch.txt","txt/Staten_2000_Is Middlemarch Ahistorical.pdf.txt","2","3","3","1793446","66758","[(313509, 313801), (739656, 739671), (739694, 739801)]","[(40984, 41278), (42171, 42186), (42350, 42459)]"
"middlemarch.txt","txt/Deery_1985_Margaret Fuller and Dorothea Brooke.pdf.txt","2","3","6","1793446","21765","[(47018, 47035), (68821, 68901), (95818, 95853), (1172270, 1172436), (1571088, 1571112), (1793005, 1793427)]","[(7697, 7718), (8515, 8596), (8705, 8740), (9247, 9412), (10758, 10781), (18708, 19129)]"
"middlemarch.txt","txt/McGeer_2004_The Art of Good Hope.pdf.txt","2","3","5","1793446","56683","[(42704, 42735), (527924, 527947), (1326632, 1326769), (1326815, 1328237), (1633587, 1633604)]","[(20849, 20880), (24073, 24096), (26993, 27130), (27176, 28588), (34404, 34421)]"
"middlemarch.txt","txt/HAWES_1992_GEORGE ELIOTS SAYINGS.pdf.txt","2","3","1","1793446","13767","[(1327591, 1327734)]","[(6577, 6720)]"
"middlemarch.txt","txt/SMITH_2001_MIDDLEMARCH.pdf.txt","2","3","8","1793446","32356","[(55, 73), (35097, 35237), (51086, 51238), (415295, 415376), (415413, 415442), (1726167, 1726223), (1793005, 1793112), (1793170, 1793427)]","[(2164, 2182), (8407, 8545), (16480, 16633), (16708, 16790), (16828, 16857), (17492, 17549), (17743, 17857), (18329, 18586)]"
"middlemarch.txt","txt/1951_Worcester And Sir Charles Hastings.pdf.txt","2","3","3","1793446","14399","[(254052, 254097), (254194, 254219), (254241, 254274)]","[(6942, 6987), (7195, 7220), (7300, 7333)]"
"middlemarch.txt","txt/Miller_1974_Narrative and History.pdf.txt","2","3","8","1793446","52997","[(55, 216), (196067, 196519), (408647, 409382), (454463, 454619), (454917, 454948), (455014, 455141), (638471, 638583), (1265090, 1265134)]","[(24391, 24552), (26026, 26479), (26687, 27425), (35201, 35356), (35407, 35438), (35511, 35638), (41631, 41743), (41847, 41891)]"
"middlemarch.txt","txt/Beaty_1982_Review of 's Middlemarch Notebooks.pdf.txt","2","3","1","1793446","19707","[(166167, 166191)]","[(6563, 6587)]"
"middlemarch.txt","txt/MINER_2012_Reforming Spaces.pdf.txt","2","3","4","1793446","51306","[(57012, 57155), (828818, 828999), (1172242, 1172405), (1717350, 1717616)]","[(12766, 12908), (15260, 15443), (24405, 24568), (36063, 36330)]"
