,0
0,3919
1,6284
2,2412
3,2915
4,513
5,1218
6,1691
7,951
8,339
9,1764
10,2943
11,1897
12,1271
13,471
14,206
15,8097
16,2978
17,463
18,910
19,3783
20,9569
21,3924
22,1972
23,847
24,1931
25,233
26,182
27,2530
28,2365
29,1343
30,207
31,485
32,263
33,965
34,657
35,784
36,1042
37,2109
38,73
39,1743
40,566
41,1313
42,2390
43,822
44,15
45,778
46,810
47,499
48,1056
49,90
50,1373
51,366
52,214
53,915
54,654
55,827
56,812
57,109
58,1232
59,167
60,552
61,1353
62,339
63,397
64,662
65,225
66,158
67,62
68,371
69,173
70,691
71,1143
72,619
73,518
74,1410
75,330
76,1860
77,517
78,703
79,214
80,3153
81,2966
82,151
83,1000
84,180
85,1485
86,184
87,5219
